2765114177,0,Very High,brewmaster,jakiro,earthshaker,shadow-fiend,slark,storm-spirit,sand-king,natures-prophet,luna,shadow-shaman
2765114178,0,Normal,bloodseeker,zeus,death-prophet,bane,drow-ranger,windranger,invoker,alchemist,bounty-hunter,batrider
2765114186,0,High,shadow-shaman,faceless-void,tinker,juggernaut,riki,mirana,lifestealer,warlock,spirit-breaker,invoker
2765114188,0,Normal,anti-mage,bounty-hunter,sniper,magnus,oracle,silencer,outworld-devourer,lycan,sand-king,juggernaut
2765114189,0,Normal,drow-ranger,lina,clinkz,timbersaw,shadow-fiend,sven,crystal-maiden,ember-spirit,silencer,invoker
2765114190,1,Normal,sniper,slark,bloodseeker,omniknight,sven,phantom-assassin,weaver,undying,axe,spirit-breaker
2765114191,1,Unknown,axe,sand-king,bristleback,sniper,spirit-breaker,wraith-king,meepo,weaver,riki,crystal-maiden
2765114192,1,Normal,invoker,timbersaw,windranger,shadow-fiend,anti-mage,spectre,luna,skywrath-mage,legion-commander,clinkz
2765114193,1,Normal,troll-warlord,ogre-magi,tinker,faceless-void,skywrath-mage,bloodseeker,silencer,shadow-fiend,sven,legion-commander
2765114194,0,Normal,slark,zeus,bounty-hunter,spirit-breaker,abaddon,phantom-assassin,ursa,anti-mage,windranger,pudge
2765114195,1,Very High,juggernaut,tiny,faceless-void,io,chen,rubick,morphling,spirit-breaker,invoker,lion
2765114196,1,Normal,clinkz,storm-spirit,drow-ranger,earth-spirit,pudge,phantom-assassin,legion-commander,abaddon,ember-spirit,slardar
2765114197,0,Normal,slardar,wraith-king,invoker,vengeful-spirit,bristleback,sven,anti-mage,zeus,bounty-hunter,natures-prophet
2765114198,0,Normal,legion-commander,bloodseeker,bane,slark,sniper,disruptor,riki,juggernaut,storm-spirit,spirit-breaker
2765114199,1,Normal,slark,legion-commander,viper,lifestealer,faceless-void,bristleback,phoenix,anti-mage,bloodseeker,sniper
2765114201,0,Normal,morphling,pudge,troll-warlord,sand-king,treant-protector,ogre-magi,storm-spirit,axe,sven,invoker
2765114202,1,High,dragon-knight,morphling,juggernaut,legion-commander,omniknight,skywrath-mage,anti-mage,puck,kunkka,mirana
2765114203,1,Normal,io,ember-spirit,legion-commander,lich,pudge,phantom-assassin,storm-spirit,weaver,ancient-apparition,windranger
2765114216,0,High,puck,tiny,phoenix,lion,juggernaut,luna,nyx-assassin,outworld-devourer,axe,pudge
2765114217,0,Very High,wraith-king,pudge,silencer,sven,bloodseeker,morphling,tinker,nyx-assassin,timbersaw,axe
2765114219,1,High,slark,axe,morphling,magnus,vengeful-spirit,meepo,omniknight,puck,centaur-warrunner,wraith-king
2765114220,0,Normal,sven,pudge,phoenix,magnus,invoker,shadow-fiend,phantom-assassin,dazzle,earthshaker,slark
