2759629049,1,Normal,mirana,tiny,alchemist,natures-prophet,morphling,dark-seer,batrider,ancient-apparition,timbersaw,sniper
2759629050,0,Unknown,phantom-assassin,huskar,riki,alchemist,lion,sniper,tinker,luna,drow-ranger,mirana
2759629053,0,Very High,juggernaut,ancient-apparition,phantom-assassin,venomancer,slardar,nyx-assassin,sand-king,timbersaw,morphling,lion
2759629055,1,Normal,tusk,earth-spirit,bloodseeker,phantom-assassin,faceless-void,wraith-king,huskar,pudge,shadow-fiend,mirana
2759629056,0,Normal,slark,bristleback,phantom-assassin,rubick,sniper,windranger,riki,oracle,anti-mage,axe
2759629068,1,Normal,mirana,pudge,wraith-king,bloodseeker,slark,phantom-assassin,underlord,huskar,windranger,tinker
2759629069,0,Normal,sniper,jakiro,slark,night-stalker,bristleback,sven,riki,bounty-hunter,phantom-assassin,ursa
2759629070,1,High,silencer,silencer/abilities,pudge,pudge/abilities,clockwerk,tiny,clinkz,phoenix,ogre-magi,slardar
2759629071,1,Normal,sven,crystal-maiden,slardar,kunkka,invoker,ursa,clinkz,slark,chaos-knight,phantom-assassin
2759629072,0,Unknown,anti-mage,lion,juggernaut,sven,slark,lifestealer,medusa,windranger,tiny,spirit-breaker
2759629073,0,Normal,lifestealer,keeper-of-the-light,sniper,timbersaw,drow-ranger,viper,lich,templar-assassin,juggernaut,lion
2759629074,1,Normal,omniknight,windranger,wraith-king,juggernaut,invoker,lion,sven,legion-commander,sniper,phantom-assassin
2759629075,1,High,ursa,slark,lifestealer,earthshaker,juggernaut,invoker,meepo,rubick,sniper,silencer
2759629076,0,Normal,morphling,undying,phantom-assassin,sven,zeus,lich,axe,riki,sniper,ember-spirit
2759629077,0,Very High,disruptor,magnus,juggernaut,shadow-fiend,pugna,sand-king,storm-spirit,slardar,clinkz,leshrac
2759629078,1,Normal,legion-commander,riki,lion,phantom-assassin,bounty-hunter,abaddon,tinker,zeus,ursa,bristleback
2759629079,0,Normal,drow-ranger,rubick,invoker,phantom-assassin,sniper,lion,pudge,lifestealer,mirana,sven
2759629080,1,Normal,tinker,invoker,faceless-void,medusa,axe,natures-prophet,sven,bloodseeker,sniper,viper
2759629083,1,Unknown,wraith-king,legion-commander,slark,earthshaker,huskar,riki,bristleback,sniper,phantom-lancer,anti-mage
2759629084,1,Normal,invoker,legion-commander,crystal-maiden,slark,viper,spectre,pudge,puck,medusa,weaver
2759629086,1,Normal,sven,anti-mage,rubick,huskar,juggernaut,phantom-assassin,axe,medusa,invoker,pudge
2759629097,1,Very High,timbersaw,lifestealer,rubick,phantom-lancer,invoker,pudge,spirit-breaker,juggernaut,earthshaker,clinkz
2759629099,0,Very High,sven,lion,zeus,sand-king,spirit-breaker,meepo,pudge,witch-doctor,luna,earthshaker
2759629103,0,Normal,drow-ranger,night-stalker,natures-prophet,bloodseeker,huskar,razor,venomancer,ogre-magi,ursa,abaddon
